ID_val,Problem,Checkbox,Check_Area,Complaint_Type,Area,SubArea,area_subarea,source_name
3991,Media Player - Broken/NW/slow/freezes,"CD Player/Changer - Audio format compatibility (MP3, .wav, etc.)",CD Player/Changer,"Audio format compatibility (MP3, .wav, etc.)",DVD/CD Drive,No DVD/CD Player,DVD/CD Drive / No DVD/CD Player,source_2
9204,CD Player/Changer-Loading/Playback Problem,CD Player/Changer- unspecified,CD Player/Changer- unspecified,CD Player/Changer- unspecified,DVD/CD Drive,No DVD/CD Player,DVD/CD Drive / No DVD/CD Player,source_2
1370,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Apple Car Play,Mobile App,Apple Car Play / Mobile App,source_2
6391,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Media Player - Pairing issues,Media Player,Pairing issues,Bluetooth,Won't/Slow Pair,Bluetooth / Won't/Slow Pair,source_2
11462,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Slow Response,Display / Touchscreen Slow Response,source_2
10970,Cell Phone - Vehicle Sound Quality,Cell Phone Connection - Sound quality for person on other end,Cell Phone Connection,Sound quality for person on other end,Bluetooth,Outbound Call,Bluetooth / Outbound Call,source_2
10455,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Bluetooth,DTU,Bluetooth / DTU,source_2
605,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Pairing issues,Cell Phone Connection,Pairing issues,Bluetooth,DTU,Bluetooth / DTU,source_2
2490,Hands-Free Communication-Doesn't Recognize Command,Cell Phone Connection - Voice recognition trouble,Cell Phone Connection,Voice recognition trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
9592,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
15705,RRR-Navigation,RRR - Directions could not download to vehicle,RRR,Directions could not download to vehicle,Navigation,Destination Download,Navigation / Destination Download,source_2
11727,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Android Auto,Slow,Android Auto / Slow,source_2
19800,Hands-Free Communication DTU,Cell Phone Connection - DTU/understand,Cell Phone Connection,DTU/understand,Bluetooth,DTU,Bluetooth / DTU,source_2
11752,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,Customer Expectation,Display / Customer Expectation,source_2
9818,Cigarette Lighter/Power Plug-DTU/Poor Location,12 Volt Power Outlets - In poor location,12 Volt Power Outlets,In poor location,Power Outlet,Poor Location,Power Outlet / Poor Location,source_2
9781,Hands-Free Communication-Doesn't Recognize Command,Navigation System - Voice recognition/communication trouble,Navigation System,Voice recognition/communication trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
13140,Wireless Hotspot Broken/NW/Connection,Wireless Hotspot - Won't connect/loses connection,Wireless Hotspot,Won't connect/loses connection,Wi-Fi,No Hotspot,Wi-Fi / No Hotspot,source_2
15785,Media Player - Broken/NW/slow/freezes,"Media Player - Audio format compatibility (MP3, .wav, etc.)",Media Player,"Audio format compatibility (MP3, .wav, etc.)",USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
10600,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Apple Car Play,Not Functioning,Apple Car Play / Not Functioning,source_2
2686,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
9788,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
726,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
1240,Front Audio/Ent System-Controls DTU/Poor Location,Radio Fnctn and Recptn - DTU/understand,Radio Fnctn and Recptn,DTU/understand,Radio,Favorites,Radio / Favorites,source_2
18141,Android Auto/Apple CarPlay DTU,Android Auto/Apple CarPlay - DTU/understand,Android Auto/Apple CarPlay,DTU/understand,Android Auto,DTU,Android Auto / DTU,source_2
18828,Aux Jack/Line In/USB/Cable Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
19677,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,DTU,Display / DTU,source_2
7720,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
2139,Display Touchscreen-Unspecified,Display Touchscreen - unspecified,Display Touchscreen,unspecified,Display,Not Enough Info,Display / Not Enough Info,source_2
18352,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
10447,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Apple Car Play,Slow,Apple Car Play / Slow,source_2
14142,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Won't connect/loses connection,Android Auto/Apple CarPlay,Won't connect/loses connection,Apple Car Play,Not Functioning,Apple Car Play / Not Functioning,source_2
8070,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Apple Car Play,Stability,Apple Car Play / Stability,source_2
5964,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Media Player - Pairing issues,Media Player,Pairing issues,Android Auto,Stability,Android Auto / Stability,source_2
183,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
11404,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,XM Radio,Poor Reception,XM Radio / Poor Reception,source_2
11987,Radio Function and Reception-Other/Unspecified,Radio Fnctn and Recptn - other,Radio Fnctn and Recptn,other,Bluetooth,Not Enough Info,Bluetooth / Not Enough Info,source_2
8716,Wireless Hotspot Broken/NW/Connection,Wireless Hotspot - Won't connect/loses connection,Wireless Hotspot,Won't connect/loses connection,XM Radio,Poor Reception,XM Radio / Poor Reception,source_2
12055,Cell Phone - Vehicle Sound Quality,Cell Phone Connection - Sound quality for person on other end,Cell Phone Connection,Sound quality for person on other end,Bluetooth,Outbound Call,Bluetooth / Outbound Call,source_2
13444,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Android Auto,Slow,Android Auto / Slow,source_2
15271,Audio Sound/Speakers-Sound Quality,Audio Sound/Speakers - Sound lacks clarity,Audio Sound/Speakers,Sound lacks clarity,Audio,Bad sound Quality,Audio / Bad sound Quality,source_2
3669,Infotainment System-Poor Screen Quality,Radio Fnctn and Recptn - Display screen image poor quality,Radio Fnctn and Recptn,Display screen image poor quality,Display,Screen Quality,Display / Screen Quality,source_2
10285,Hands-Free Communication DTU,Cell Phone Connection - DTU/understand,Cell Phone Connection,DTU/understand,Display,DTU,Display / DTU,source_2
5784,Radio Function and Reception-Other/Unspecified,Radio Fnctn and Recptn - other,Radio Fnctn and Recptn,other,Audio,No Audio,Audio / No Audio,source_2
1892,Cigarette Lighter/Power Plug Broken/NW,12 Volt Power Outlets - Broken/NW,12 Volt Power Outlets,Broken/NW,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
11817,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Radio,Screen Freeze,Radio / Screen Freeze,source_2
3034,Cigarette Lighter/Power Plug-Not Enough,12 Volt Power Outlets - Not enough outlets,12 Volt Power Outlets,Not enough outlets,Power Outlet,Not Enough,Power Outlet / Not Enough,source_2
18422,Infotainment System-Poor Screen Quality,Cell Phone Connection - Screen illumination,Cell Phone Connection,Screen illumination,Display,Illumination Too Dark,Display / Illumination Too Dark,source_2
6886,Wireless Hotspot Broken/NW/Connection,Wireless Hotspot - Won't connect/loses connection,Wireless Hotspot,Won't connect/loses connection,Radio Interaction,No Wifi,Radio Interaction / No Wifi,source_2
9085,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Slow system response/freezes,Cell Phone Connection,Slow system response/freezes,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
7795,Infotainment System-Poor Screen Quality,Media Player - Screen illumination,Media Player,Screen illumination,Stability,Reboot,Stability / Reboot,source_2
3134,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
2676,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Won't connect/loses connection,Android Auto/Apple CarPlay,Won't connect/loses connection,Apple Car Play,Customer Expectation,Apple Car Play / Customer Expectation,source_2
3599,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Apple Car Play,Slow,Apple Car Play / Slow,source_2
3089,Audio Sound/Speakers-Sound Quality,Audio Sound/Speakers - Sound lacks clarity,Audio Sound/Speakers,Sound lacks clarity,Audio,Bad sound Quality,Audio / Bad sound Quality,source_2
19437,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Pairing issues,Cell Phone Connection,Pairing issues,Bluetooth,Won't/Slow Pair,Bluetooth / Won't/Slow Pair,source_2
14981,Steering Wheel Ctrls-DTU/In Poor Location,Steering Wheel Ctrls - DTU/understand,Steering Wheel Ctrls,DTU/understand,Steering Wheel Controls,DTU,Steering Wheel Controls / DTU,source_2
3101,Media Player - Broken/NW/slow/freezes,Media Player - Slow system response/freezes,Media Player,Slow system response/freezes,Radio,Screen Freeze,Radio / Screen Freeze,source_2
19122,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
2329,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Won't connect/loses connection,Android Auto/Apple CarPlay,Won't connect/loses connection,Apple Car Play,Not Functioning,Apple Car Play / Not Functioning,source_2
17329,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Won't connect/loses connection,Android Auto/Apple CarPlay,Won't connect/loses connection,Android Auto,Stability,Android Auto / Stability,source_2
10291,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Slow system response/freezes,Cell Phone Connection,Slow system response/freezes,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
11434,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Device compatibility/does not work,Cell Phone Connection,Device compatibility/does not work,Bluetooth,Won't/Slow Connect,Bluetooth / Won't/Slow Connect,source_2
8698,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Broken/NW,Display Touchscreen,Broken/NW,Display,Black Screen,Display / Black Screen,source_2
2433,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition,Not Functioning,Voice Recognition / Not Functioning,source_2
6803,Speakers-Cut-Out/No Sound,Audio Sound/Speakers - Cut out/No sound,Audio Sound/Speakers,Cut out/No sound,Audio,Not Functioning,Audio / Not Functioning,source_2
11465,Speakers-Cut-Out/No Sound,Audio Sound/Speakers - Cut out/No sound,Audio Sound/Speakers,Cut out/No sound,Audio,Volume,Audio / Volume,source_2
9508,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
187,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Broken/NW,Display Touchscreen,Broken/NW,Display,Black Screen,Display / Black Screen,source_2
14209,Navigation System-Inaccurate custAttr4823,Navigation System - Poor routing information custAttr4823,Navigation System,Poor routing information,Navigation,DTU,Navigation / DTU,source_2
11479,CD Player/Changer-Loading/Playback Problem,CD Player/Changer- unspecified,CD Player/Changer- unspecified,CD Player/Changer- unspecified,DVD/CD Drive,No DVD/CD Player,DVD/CD Drive / No DVD/CD Player,source_2
1726,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Bluetooth,No Audio,Bluetooth / No Audio,source_2
9223,Wireless Hotspot DTU,Wireless Hotspot - DTU/understand,Wireless Hotspot,DTU/understand,Radio Interaction,No Wifi,Radio Interaction / No Wifi,source_2
972,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Won't connect/loses connection,Android Auto/Apple CarPlay,Won't connect/loses connection,Apple Car Play,Stability,Apple Car Play / Stability,source_2
17023,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
18762,Hands-Free Communication-Doesn't Recognize Command,Media Player - Voice recognition/communication trouble,Media Player,Voice recognition/communication trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
17025,Navigation System-Other/Unspecified,Navigation System - unspecified,Navigation System,unspecified,Navigation,Customer Expectation,Navigation / Customer Expectation,source_2
2389,Radio Poor/No Reception,Radio Fnctn and Recptn - Does not work,Radio Fnctn and Recptn,Does not work,Apple Car Play,Stability,Apple Car Play / Stability,source_2
14860,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Broken/NW,Display Touchscreen,Broken/NW,Display,Black Screen,Display / Black Screen,source_2
5682,Navigation System-Inaccurate,Navigation System - Poor routing information,Navigation System,Poor routing information,Navigation,Customer Expectation,Navigation / Customer Expectation,source_2
7986,CD Player/Changer-Loading/Playback Problem,CD Player/Changer- unspecified,CD Player/Changer- unspecified,CD Player/Changer- unspecified,DVD/CD Drive,No DVD/CD Player,DVD/CD Drive / No DVD/CD Player,source_2
1764,Infotainment System-Poor Screen Quality,Radio Fnctn and Recptn - Display screen image poor quality,Radio Fnctn and Recptn,Display screen image poor quality,Display,Screen Quality,Display / Screen Quality,source_2
15008,Rear Audio/Ent System-Controls DTU/Poor Location,DVD Player/TV/Rear Seat Ent - DTU/understand,DVD Player/TV/Rear Seat Ent,DTU/understand,Rear Seat Entertainment,DTU,Rear Seat Entertainment / DTU,source_2
2117,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,DTU,Display / DTU,source_2
17953,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
12445,RRR-Navigation,RRR - Directions could not download to vehicle,RRR,Directions could not download to vehicle,RRR,Duplicate,RRR / Duplicate,source_2
10898,Navigation System-Inaccurate,Navigation System - Inaccurate map information,Navigation System,Inaccurate map information,Navigation,Out Dated,Navigation / Out Dated,source_2
130,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
9531,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Pairing issues,Cell Phone Connection,Pairing issues,Bluetooth,Won't/Slow Pair,Bluetooth / Won't/Slow Pair,source_2
7133,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Display,Black Screen,Display / Black Screen,source_2
17772,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Freezes/Locks Up,Display / Freezes/Locks Up,source_2
17928,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
13793,Navigation System-Other/Unspecified,Navigation System - other,Navigation System,other,Navigation,Other,Navigation / Other,source_2
15076,Radio Function and Reception-Other/Unspecified,Radio Fnctn and Recptn - other,Radio Fnctn and Recptn,other,Radio,Poor Reception,Radio / Poor Reception,source_2
17991,Infotainment System-Poor Screen Quality,Media Player - Screen illumination,Media Player,Screen illumination,Display,Black Screen,Display / Black Screen,source_2
5103,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
7406,Hands-Free Communication-Doesn't Recognize Command,Cell Phone Connection - Voice recognition trouble,Cell Phone Connection,Voice recognition trouble,Voice Recognition,Not Functioning,Voice Recognition / Not Functioning,source_2
19845,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,DTU,Bluetooth / DTU,source_2
14075,Media Player - Broken/NW/slow/freezes,Media Player - Slow system response/freezes,Media Player,Slow system response/freezes,Apple Car Play,Not Functioning,Apple Car Play / Not Functioning,source_2
8231,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,DTU,Display / DTU,source_2
15620,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - other,Cell Phone Connection,other,Bluetooth,Not Enough Info,Bluetooth / Not Enough Info,source_2
1827,Aux Jack/Line In/USB/Cable Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
3165,Cigarette Lighter/Power Plug-DTU/Poor Location,12 Volt Power Outlets - In poor location,12 Volt Power Outlets,In poor location,Power Outlet,Poor Location,Power Outlet / Poor Location,source_2
16651,Front Audio/Ent System-Controls DTU/Poor Location,"Audio Sound/Speakers - Diff to adjust/use (bass, trbl, bal/fade)",Audio Sound/Speakers,"Diff to adjust/use (bass, trbl, bal/fade)",Radio,Equalizer,Radio / Equalizer,source_2
11905,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Won't connect/loses connection,Android Auto/Apple CarPlay,Won't connect/loses connection,Android Auto,Not Functioning,Android Auto / Not Functioning,source_2
12116,Android Auto/Apple CarPlay DTU,Android Auto/Apple CarPlay - DTU/understand,Android Auto/Apple CarPlay,DTU/understand,Apple Car Play,DTU,Apple Car Play / DTU,source_2
9137,RRR-Controls DTU/Poor Location,RRR - DTU/understand,RRR,DTU/understand,RRR,DTU,RRR / DTU,source_2
17267,Cigarette Lighter/Power Plug-Not Enough,12 Volt Power Outlets - Not enough outlets,12 Volt Power Outlets,Not enough outlets,Power Outlet,Poor Location,Power Outlet / Poor Location,source_2
18541,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Apple Car Play,Slow,Apple Car Play / Slow,source_2
7181,Radio Poor/No Reception,Radio Fnctn and Recptn - Static/poor reception - AM/FM/Satellite/HD,Radio Fnctn and Recptn,Static/poor reception - AM/FM/Satellite/HD,Radio,Poor Reception,Radio / Poor Reception,source_2
9449,CD Player/Changer-Loading/Playback Problem,CD Player/Changer - Will not play,CD Player/Changer,Will not play,DVD/CD Drive,Not Functioning,DVD/CD Drive / Not Functioning,source_2
15648,Wireless Hotspot Broken/NW/Connection,Wireless Hotspot - Won't connect/loses connection,Wireless Hotspot,Won't connect/loses connection,Wi-Fi,Slow,Wi-Fi / Slow,source_2
10505,CD Player/Changer-Loading/Playback Problem,CD Player/Changer - Will not play,CD Player/Changer,Will not play,DVD/CD Drive,No DVD/CD Player,DVD/CD Drive / No DVD/CD Player,source_2
19253,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
16178,Paddle/Shifting Buttons-Other/Unspecified,A/T Paddle/Shifting Buttons - other,A/T Paddle/Shifting Buttons,other,Not PPEC 7,Other,Not PPEC 7 / Other,source_2
9764,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Media Player - Pairing issues,Media Player,Pairing issues,Bluetooth,Won't/Slow Pair,Bluetooth / Won't/Slow Pair,source_2
16638,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Won't connect/loses connection,Android Auto/Apple CarPlay,Won't connect/loses connection,Navigation,Customer Expectation,Navigation / Customer Expectation,source_2
19540,Front Audio/Ent System-Controls DTU/Poor Location,Media Player - DTU/understand,Media Player,DTU/understand,Radio,DTU,Radio / DTU,source_2
12887,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,XM Radio,Poor Reception,XM Radio / Poor Reception,source_2
14723,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Slow system response/freezes,Cell Phone Connection,Slow system response/freezes,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
18049,Infotainment System-Poor Screen Quality,Cell Phone Connection - Screen illumination,Cell Phone Connection,Screen illumination,Display,Screen Quality,Display / Screen Quality,source_2
